exchange_time,symbol,contract,price,volume,total_volume,sequence,latency_ms
2026-08-24T15:00:01+08:00,TMF,TMFI6,44650,2,2,mock-001,11
2026-08-24T15:00:12+08:00,TMF,TMFI6,44658,3,5,mock-002,14
2026-08-24T15:00:26+08:00,TMF,TMFI6,44643,1,6,mock-003,9
2026-08-24T15:00:41+08:00,TMF,TMFI6,44671,4,10,mock-004,18
2026-08-24T15:00:58+08:00,TMF,TMFI6,44662,2,12,mock-005,12
2026-08-24T15:01:03+08:00,TMF,TMFI6,44664,2,14,mock-006,10
2026-08-24T15:01:17+08:00,TMF,TMFI6,44680,5,19,mock-007,13
2026-08-24T15:01:35+08:00,TMF,TMFI6,44655,2,21,mock-008,16
2026-08-24T15:01:54+08:00,TMF,TMFI6,44673,3,24,mock-009,11
2026-08-24T15:03:02+08:00,TMF,TMFI6,44676,1,25,mock-010,12
2026-08-24T15:03:21+08:00,TMF,TMFI6,44692,2,27,mock-011,15
2026-08-24T15:03:48+08:00,TMF,TMFI6,44684,3,30,mock-012,10
